"Honorific.Title","First.Name","Last.Name","Constituency","Province...Territory","Political.Affiliation","Start.Date","End.Date","DirectWebPage","MP_at","Rols","Email","Website","HillOfficeAddressInfo","HillOfficePhoneFaxInfo","MainOfficeAddressInfo","MainOfficePhoneFaxInfo"
"","Iqra","Khalid","Mississauga—Erin Mills","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/iqra-khalid(88849)","Mississauga—Erin Mills, Ontario
","Parliamentary Secretary to the Minister of National Revenue
                        Member of the National Security and Intelligence Committee of Parliamentarians
","iqra.khalid@parl.gc.ca","http://iqrakhalid.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-7321
                    Fax: 613-992-6708
                ","
                    Main office -  Mississauga 
                    3184 Ridgeway Drive 
Unit 41 
                    Mississauga, Ontario 
                    L5L 5S7 ","
                    Telephone:  905-820-8814 
Fax:  905-820-4068 "
"","Arpan","Khanna","Oxford","Ontario","Conservative","2023-06-19 12:00:00 AM",NA,"/members/en/arpan-khanna(105052)","Oxford, Ontario
","Parliamentary Secretary to the Minister of National Revenue
                        Member of the National Security and Intelligence Committee of Parliamentarians
","arpan.khanna@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-4432
                    Fax: 613-995-4433
                ","
                    Main office -  Woodstock 
                    208 Huron Street 
Suite 4 
                    Woodstock, Ontario 
                    N4S 7A1 ","
                    Telephone:  519-421-7214 
Fax:  519-421-9704 "
"Hon.","Kamal","Khera","Brampton West","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/kamal-khera(88705)","Brampton West, Ontario
","Minister of Diversity, Inclusion and Persons with Disabilities
","kamal.khera@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-0778
                    Fax: 613-992-0800
                ","
                    Main office -  Brampton 
                    35 Van Kirk Drive 
Suite 10/10A 
                    Brampton, Ontario 
                    L7A 1A5 ","
                    Telephone:  905-454-4758 
Fax:  905-454-3192 "
"","Robert","Kitchen","Souris—Moose Mountain","Saskatchewan","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/robert-kitchen(89095)","Souris—Moose Mountain, Saskatchewan
","
                HESAStanding Committee on Health
            
    ","robert.kitchen@parl.gc.ca","http://www.drrobertkitchen.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-7685
                    Fax: 613-995-8908
                ","
                    Main office -  Estevan 
                    1133 - 4th Street 
Suite 302 
                    Estevan, Saskatchewan 
                    S4A 0W6 ","
                    Telephone:  306-634-3000 
Fax:  306-634-4835 "
"","Tom","Kmiec","Calgary Shepard","Alberta","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/tom-kmiec(89136)","Calgary Shepard, Alberta
","
                CACNSpecial Committee on the Canada–People’s Republic of China Relationship
            
    ","tom.kmiec@parl.gc.ca","http://www.tomkmiecmp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-0846
                    Fax: 613-992-0883
                ","
                    Main office -  Calgary 
                    12221-44 Street SE 
Unit 40A 
                    Calgary, Alberta 
                    T2Z 4H3 ","
                    Telephone:  403-974-1285 
Toll Free Number: 1-855-852-5710 "
"","Annie","Koutrakis","Vimy","Quebec","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/annie-koutrakis(105009)","Vimy, Quebec
","Parliamentary Secretary to the Minister of Tourism and Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec
","Annie.Koutrakis@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-7398
                    Fax: 613-996-1195
                ","
                    Main office -  Laval 
                    2500 Daniel-Johnson Boulevard
 
Suite 405 
                    Laval, Quebec 
                    H7T 2P6 ","
                    Telephone:  450-973-5660 
Fax:  450-973-5661 "
"","Michael","Kram","Regina—Wascana","Saskatchewan","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/michael-kram(89080)","Regina—Wascana, Saskatchewan
","
                ENVIStanding Committee on Environment and Sustainable Development
            
    ","Michael.Kram@parl.gc.ca","http://michaelkrammp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-947-1153
                    Fax: 613-996-9790
                ","
                    Main office -  Regina 
                    2709 East Quance Street 
                    Regina, Saskatchewan 
                    S4V 3B7 ","
                    Telephone:  306-585-2202 "
"","Shelby","Kramp-Neuman","Hastings—Lennox and Addington","Ontario","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/shelby-kramp-neuman(110454)","Hastings—Lennox and Addington, Ontario
","
                AMADSpecial Joint Committee on Medical Assistance in Dying
            
    ","shelby.kramp-neuman@parl.gc.ca","http://shelbykrampneumanmp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-5321
                    Fax: 613-996-8652
                ","
                    Main office -  Napanee 
                    4 Dundas Street West 
                    Napanee, Ontario 
                    K7R 1Z4 ","
                    Telephone:  613-354-6886 
Fax:  1-613-354-6578 "
"","Damien","Kurek","Battle River—Crowfoot","Alberta","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/damien-c-kurek(105614)","Battle River—Crowfoot, Alberta
","
                ETHIStanding Committee on Access to Information, Privacy and Ethics
            
    ","Damien.Kurek@parl.gc.ca","http://www.damienkurek.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-947-4608
                    Fax: 613-947-4611
                ","
                    Main office -  Camrose 
                    4945 - 50th Street 
                    Camrose, Alberta 
                    T4V 1P9 ","
                    Telephone:  780-608-4600 
Fax:  780-608-4603 "
"","Stephanie","Kusie","Calgary Midnapore","Alberta","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/stephanie-kusie(96367)","Calgary Midnapore, Alberta
","Member of the panel of chairs for the legislative committees
","stephanie.kusie@parl.gc.ca","http://stephaniekusiemp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-2235
                    Fax: 613-992-1920
                ","
                    Main office -  Calgary 
                    279 Midpark Way SE 
Suite 204 
                    Calgary, Alberta 
                    T2X 1M2 ","
                    Telephone:  403-225-3480 
Fax:  403-225-3504 "
"","Irek","Kusmierczyk","Windsor—Tecumseh","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/irek-kusmierczyk(71820)","Windsor—Tecumseh, Ontario
","Parliamentary Secretary to the Minister of Employment, Workforce Development and Official Languages
","Irek.Kusmierczyk@parl.gc.ca","http://irekkusmierczyk.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-947-3445
                    Fax: 613-947-3448
                ","
                    Main office -  Windsor 
                    9733 Tecumseh Road East 
Suite 2 
                    Windsor, Ontario 
                    N8R 1A5 ","
                    Telephone:  519-979-2707 
Fax:  519-979-7747 "
"","Jenny","Kwan","Vancouver East","British Columbia","NDP","2021-09-20 12:00:00 AM",NA,"/members/en/jenny-kwan(89346)","Vancouver East, British Columbia
","Caucus Chair
","jenny.kwan@parl.gc.ca","http://www.jennykwanndp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-6030
                    Fax: 613-995-7412
                ","
                    Main office -  Vancouver 
                    2572 East Hastings Street 
                    Vancouver, British Columbia 
                    V5K 1Z3 ","
                    Telephone:  604-775-5800 
Fax:  604-775-5811 "
"Hon.","Mike","Lake","Edmonton—Wetaskiwin","Alberta","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/mike-lake(35857)","Edmonton—Wetaskiwin, Alberta
","
                SDIRSubcommittee on International Human Rights of the Standing Committee on Foreign Affairs and International Development
            
    ","mike.lake@parl.gc.ca","http://mikelake.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-8695
                    Fax: 613-995-6465
                ","
                    Main office -  Edmonton 
                    203-1230 - 91 Street SW 
                    Edmonton, Alberta 
                    T6X 0P2 ","
                    Telephone:  780-495-2149 
Fax:  780-495-2147 "
"","Marie-France","Lalonde","Orléans","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/marie-france-lalonde(92209)","Orléans, Ontario
","Parliamentary Secretary to the Minister of National Defence
","Marie-France.Lalonde@parl.gc.ca","http://mflalondemp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-1800
                    Fax: 613-995-6298
                ","
                    Main office -  Orléans 
                    255 Centrum Blvd, 2nd Floor 
                    Orléans, Ontario 
                    K1E 3W3 ","
                    Telephone:  613-834-1800 
Fax:  613-590-1201 "
"","Emmanuella","Lambropoulos","Saint-Laurent","Quebec","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/emmanuella-lambropoulos(96350)","Saint-Laurent, Quebec
","
                NDDNStanding Committee on National Defence
            
            
                FEWOStanding Committee on the Status of Women
            
    ","emmanuella.lambropoulos@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-996-5789
                    Fax: 613-996-6562
                ","
                    Main office -  Saint-Laurent 
                    750 Marcel Laurin Blvd 
Suite 102 
                    Saint-Laurent, Quebec 
                    H4M 2M4 ","
                    Telephone:  514-335-6655 
Fax:  514-335-2712 "
"Hon.","David","Lametti","LaSalle—Émard—Verdun","Quebec","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/david-lametti(88501)","LaSalle—Émard—Verdun, Quebec
","
                SRSRStanding Committee on Science and Research
            
    ","david.lametti@parl.gc.ca","http://davidlametti.libparl.ca/?lang=en","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-943-6636
                    Fax: 613-943-6637
                ","
                    Main office -  Montréal 
                    6023 Monk Blvd. 
                    Montréal, Quebec 
                    H4E 3H5 ","
                    Telephone:  514-363-0954 
Fax:  514-367-5533 "
"","Kevin","Lamoureux","Winnipeg North","Manitoba","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/kevin-lamoureux(30552)","Winnipeg North, Manitoba
","Parliamentary Secretary to the Leader of the Government in the House of Commons
","kevin.lamoureux@parl.gc.ca","http://www.mpkevin.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-996-6417
                    Fax: 613-996-9713
                ","
                    Main office -  Winnipeg 
                    98 Mandalay Drive 
                    Winnipeg, Manitoba 
                    R2P 1V8 ","
                    Telephone:  204-984-1767 
Fax:  204-984-1766 "
"","Melissa","Lantsman","Thornhill","Ontario","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/melissa-lantsman(110665)","Thornhill, Ontario
","
                CACNSpecial Committee on the Canada–People’s Republic of China Relationship
            
    ","melissa.lantsman@parl.gc.ca","http://melissalantsmanmp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-0253
                    Fax: 613-992-0887
                ","
                    Main office -  Thornhill 
                    1118 Centre Street 
Unit 23 
                    Thornhill, Ontario 
                    L4J 7R9 ","
                    Telephone:  905-886-9911 
Fax:  905-886-5267 "
"","Viviane","Lapointe","Sudbury","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/viviane-lapointe(110663)","Sudbury, Ontario
","
                INDUStanding Committee on Industry and Technology
            
            
                RNNRStanding Committee on Natural Resources
            
    ","viviane.lapointe@parl.gc.ca","http://vivianelapointe.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-996-8962
                    Fax: 613-995-2569
                ","
                    Main office -  Sudbury 
                    93 Cedar Street 
Suite 302 
                    Sudbury, Ontario 
                    P3E 1A7 ","
                    Telephone:  705-673-7107 
Fax:  705-673-0944 "
"","Andréanne","Larouche","Shefford","Quebec","Bloc Québécois","2021-09-20 12:00:00 AM",NA,"/members/en/andreanne-larouche(104973)","Shefford, Quebec
","
                FEWOStanding Committee on the Status of Women
            
    ","Andreanne.Larouche@parl.gc.ca","http://andreannelarouche.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-5279
                    Fax: 613-992-7871
                ","
                    Main office -  Granby 
                    400 Principale Street 
Suite 101 
                    Granby, Quebec 
                    J2G 2W6 ","
                    Telephone:  450-378-3221 
Fax:  450-378-3380 "
"","Patricia","Lattanzio","Saint-Léonard—Saint-Michel","Quebec","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/patricia-lattanzio(104957)","Saint-Léonard—Saint-Michel, Quebec
","Member of the panel of chairs for the legislative committees
                        Member of the National Security and Intelligence Committee of Parliamentarians
","Patricia.Lattanzio@parl.gc.ca","http://patricialattanzio.libparl.ca/?lang=en","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-9414
                    Fax: 613-992-8523
                ","
                    Main office -  Saint-Léonard 
                    8370 Lacordaire Blvd 
                    Saint-Léonard, Quebec 
                    H1R 3Y6 ","
                    Telephone:  514-256-4548 
Fax:  514-256-8828 "
"","Stéphane","Lauzon","Argenteuil—La Petite-Nation","Quebec","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/stephane-lauzon(88394)","Argenteuil—La Petite-Nation, Quebec
","Parliamentary Secretary to the Minister of Citizens' Services
","stephane.lauzon@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-0902
                    Fax: 613-992-2935
                ","
                     Gatineau 
                    104 Maclaren Street East 
                    Gatineau, Quebec 
                    J8L 1K1 ","
                    Telephone:  819-281-2626 
Fax:  819-281-2755 "
"","Philip","Lawrence","Northumberland—Peterborough South","Ontario","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/philip-lawrence(105291)","Northumberland—Peterborough South, Ontario
","
                FINAStanding Committee on Finance
            
    ","Philip.Lawrence@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-8585
                    Fax: 613-995-7536
                ","
                    Main office -  Cobourg 
                    12 Elgin Street East 
Unit No. 4 
                    Cobourg, Ontario 
                    K9A 0C5 ","
                    Telephone:  905-372-8757 
Fax:  905-372-1500 "
"Hon.","Dominic","LeBlanc","Beauséjour","New Brunswick","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/dominic-leblanc(1813)","Beauséjour, New Brunswick
","Minister of Public Safety, Democratic Institutions and Intergovernmental Affairs
","dominic.leblanc@parl.gc.ca","http://dominicleblanc.libparl.ca/?lang=en","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-1020
                    Fax: 613-992-3053
                ","
                    Main office -  Shediac 
                    328 Main Street 
Suite I 
                    Shediac, New Brunswick 
                    E4P 2E3 ","
                    Telephone:  506-533-5700 
Fax:  506-533-5888 "
"Hon.","Diane","Lebouthillier","Gaspésie—Les Îles-de-la-Madeleine","Quebec","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/diane-lebouthillier(88460)","Gaspésie—Les Îles-de-la-Madeleine, Quebec
","Minister of Fisheries, Oceans and the Canadian Coast Guard
","diane.lebouthillier@parl.gc.ca","http://dianelebouthillier.libparl.ca/?lang=en","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-6188
                    Fax: 613-992-6194
                ","
                    Main office -  Grande-Rivière 
                    153 La Grande Allée East 
Suite 104 
                    Grande-Rivière, Quebec 
                    G0C 1V0 ","
                    Telephone:  418-385-4264 
Fax:  418-385-4276 "
"","Richard","Lehoux","Beauce","Quebec","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/richard-lehoux(104653)","Beauce, Quebec
","
                AGRIStanding Committee on Agriculture and Agri-Food
            
    ","Richard.Lehoux@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-8053
                    Fax: 613-995-0687
                ","
                    Main office -  Sainte-Marie de Beauce 
                    250 Vachon North Boulevard 
Suite 201 
                    Sainte-Marie de Beauce, Quebec 
                    G6E 0H2 ","
                    Telephone:  418-387-4224 
Fax:  418-387-8124 "
"","Sébastien","Lemire","Abitibi—Témiscamingue","Quebec","Bloc Québécois","2021-09-20 12:00:00 AM",NA,"/members/en/sebastien-lemire(104630)","Abitibi—Témiscamingue, Quebec
","
                INDUStanding Committee on Industry and Technology
            
    ","Sebastien.Lemire@parl.gc.ca","http://depute.lemire.info","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-996-3250
                    Fax: 613-992-3672
                ","
                    Main office -  Rouyn-Noranda 
                    33-A Gamble Street West 
RC 15 
                    Rouyn-Noranda, Quebec 
                    J9X 2R3 ","
                    Telephone:  1-800-567-6433 
Fax:  819-762-8732 "
"","Branden","Leslie","Portage—Lisgar","Manitoba","Conservative","2023-06-19 12:00:00 AM",NA,"/members/en/branden-leslie(108395)","Portage—Lisgar, Manitoba
","
                ENVIStanding Committee on Environment and Sustainable Development
            
    ","branden.leslie@parl.gc.ca","http://www.brandenleslie.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-9511
                    Fax: 613-947-0313
                ","
                    Main office -  Morden 
                    E-886 Thornhill Street 
                    Morden, Manitoba 
                    R6M 2E1 ","
                    Telephone:  204-822-7440 
Fax:  204-822-7445 "
"","Chris","Lewis","Essex","Ontario","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/chris-lewis(105120)","Essex, Ontario
","
                TRANStanding Committee on Transport, Infrastructure and Communities
            
    ","Chris.Lewis@parl.gc.ca","http://chrislewismp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-1812
                    Fax: 613-995-0033
                ","
                    Main office -  Essex 
                    35 Victoria Avenue 
Unit 7B 
                    Essex, Ontario 
                    N8M 1M4 ","
                    Telephone:  519-776-4700 
Fax:  519-776-1383 "
"","Leslyn","Lewis","Haldimand—Norfolk","Ontario","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/leslyn-lewis(88958)","Haldimand—Norfolk, Ontario
","
                TRANStanding Committee on Transport, Infrastructure and Communities
            
    ","leslyn.lewis@parl.gc.ca","http://leslynlewismp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-996-4974
                    Fax: 613-996-9749
                ","
                    Main office -  Simcoe 
                    240-185 Robinson St 
                    Simcoe, Ontario 
                    N3Y 5L6 ","
                    Telephone:  1-866-496-3400 
Fax:  519-426-0003 "
"","Ron","Liepert","Calgary Signal Hill","Alberta","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/ron-liepert(89139)","Calgary Signal Hill, Alberta
","
                BILIStanding Joint Committee on the Library of Parliament
            
    ","ron.liepert@parl.gc.ca","http://ronliepertmp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-3066
                    Fax: 613-992-3256
                ","
                    Main office -  Calgary 
                    8561 - 8A Avenue SW 
Suite 2216 
                    Calgary, Alberta 
                    T3H 0V5 ","
                    Telephone:  403-292-6666 
Fax:  403-292-6670 "
"","Joël","Lightbound","Louis-Hébert","Quebec","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/joel-lightbound(88532)","Louis-Hébert, Quebec
","
                INDUStanding Committee on Industry and Technology
            
            
                SINDSubcommittee on Agenda and Procedure of the Standing Committee on Industry and Technology
            
    ","joel.lightbound@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-4995
                    Fax: 613-996-8292
                ","
                    Main office -  Québec 
                    3700 du Campanile Street 
Suite 110 
                    Québec, Quebec 
                    G1X 4G6 ","
                    Telephone:  418-648-3244 
Fax:  418-648-3260 "
"","Dane","Lloyd","Sturgeon River—Parkland","Alberta","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/dane-lloyd(98079)","Sturgeon River—Parkland, Alberta
","
                SECUStanding Committee on Public Safety and National Security
            
    ","Dane.Lloyd@parl.gc.ca","http://danelloyd.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-996-9778
                    Fax: 613-996-0785
                ","
                    Main office -  Stony Plain 
                    4807 - 44 Avenue 
Suite 102 
                    Stony Plain, Alberta 
                    T7Z 1V5 ","
                    Telephone:  780-823-2050 
Fax:  780-823-2055 "
"","Ben","Lobb","Huron—Bruce","Ontario","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/ben-lobb(35600)","Huron—Bruce, Ontario
","
                SRSRStanding Committee on Science and Research
            
    ","ben.lobb@parl.gc.ca","http://www.benlobb.com","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-8234
                    Fax: 613-995-6350
                ","
                    Main office -  Goderich 
                    30 Victoria Street North 
                    Goderich, Ontario 
                    N7A 2R6 ","
                    Telephone:  519-524-6560 
Fax:  519-612-1141 "
"","Wayne","Long","Saint John—Rothesay","New Brunswick","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/wayne-long(88368)","Saint John—Rothesay, New Brunswick
","
                BILIStanding Joint Committee on the Library of Parliament
            
            
                HUMAStanding Committee on Human Resources, Skills and Social Development and the Status of Persons with Disabilities
            
    ","wayne.long@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-947-2700
                    Fax: 613-947-4574
                ","
                    Main office -  Saint John 
                    1 Market Square 
Suite N306 
                    Saint John, New Brunswick 
                    E2L 4Z6 ","
                    Telephone:  506-657-2500 
Fax:  506-657-2504 "
"","Lloyd","Longfield","Guelph","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/lloyd-longfield(88761)","Guelph, Ontario
","Member of the panel of chairs for the legislative committees
","lloyd.longfield@parl.gc.ca","http://www.mplongfield.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-996-4758
                    Fax: 613-996-9922
                ","
                    Main office -  Guelph 
                    103-111 Farquhar Street 
                    Guelph, Ontario 
                    N1H 3N4 ","
                    Telephone:  519-837-8276 
Fax:  519-837-8443 "
"","Tim","Louis","Kitchener—Conestoga","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/tim-louis(88810)","Kitchener—Conestoga, Ontario
","
                REGSStanding Joint Committee for the Scrutiny of Regulations
            
    ","Tim.Louis@parl.gc.ca","http://timlouis.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-4633
                    Fax: 613-992-9932
                ","
                    Main office -  Kitchener 
                    1187 Fischer-Hallman Road 
Unit 624 
                    Kitchener, Ontario 
                    N2E 4H9 ","
                    Telephone:  519-578-3777 
Fax:  519-578-0138 "
"Hon.","Lawrence","MacAulay","Cardigan","Prince Edward Island","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/lawrence-macaulay(33)","Cardigan, Prince Edward Island
","Minister of Agriculture and Agri-Food
","lawrence.macaulay@parl.gc.ca","http://lawrencemacaulay.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-9325
                    Fax: 613-995-2754
                ","
                    Main office -  Montague 
                    551 Main Street 
PO Box 1150 
                    Montague, Prince Edward Island 
                    C0A 1R0 ","
                    Telephone:  902-838-4139 
Fax:  902-838-3790 "
"","Heath","MacDonald","Malpeque","Prince Edward Island","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/heath-macdonald(109891)","Malpeque, Prince Edward Island
","
                SECUStanding Committee on Public Safety and National Security
            
            
                SSECSubcommittee on Agenda and Procedure of the Standing Committee on Public Safety and National Security
            
    ","heath.macdonald@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-2406
                    Fax: 613-995-7408
                ","
                    Main office -  Cornwall 
                    2-4 Meadowbank Road 
                    Cornwall, Prince Edward Island 
                    C0A 1H0 ","
                    Telephone:  1-800-442-4050 
Fax:  902-566-4591 "
"","Alistair","MacGregor","Cowichan—Malahat—Langford","British Columbia","NDP","2021-09-20 12:00:00 AM",NA,"/members/en/alistair-macgregor(89269)","Cowichan—Malahat—Langford, British Columbia
","
                AMADSpecial Joint Committee on Medical Assistance in Dying
            
    ","alistair.macgregor@parl.gc.ca","http://alistairmacgregor.ndp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-943-2180
                    Fax: 613-993-5577
                ","
                    Main office -  Duncan 
                    126 Ingram Street 
Suite 101 
                    Duncan, British Columbia 
                    V9L 1P1 ","
                    Telephone:  250-746-4896 
Fax:  250-746-2354 "
"Hon.","Steven","MacKinnon","Gatineau","Quebec","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/steven-mackinnon(88468)","Gatineau, Quebec
","Member of the Board of Internal Economy
                        Chief government whip
","Steven.MacKinnon@parl.gc.ca","http://stevenmackinnon.libparl.ca/?lang=en","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-4351
                    Fax: 613-992-1037
                ","
                    Main office -  Gatineau 
                    160 de l'Hôpital Blvd 
Suite 401 
                    Gatineau, Quebec 
                    J8T 8J1 ","
                    Telephone:  819-561-5555 
Fax:  819-561-0005 "
"","Larry","Maguire","Brandon—Souris","Manitoba","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/larry-maguire(7251)","Brandon—Souris, Manitoba
","
                CIMMStanding Committee on Citizenship and Immigration
            
    ","larry.maguire@parl.gc.ca","http://www.larrymaguire.com","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-9372
                    Fax: 613-992-1265
                ","
                    Main office -  Brandon 
                    658 10th Street 
Unit B 
                    Brandon, Manitoba 
                    R7A 4G5 ","
                    Telephone:  204-726-7600 
Fax:  204-726-7699 "
"","Shuvaloy","Majumdar","Calgary Heritage","Alberta","Conservative","2023-07-24 12:00:00 AM",NA,"/members/en/shuvaloy-majumdar(116022)","Calgary Heritage, Alberta
","
                HESAStanding Committee on Health
            
    ","shuvaloy.majumdar@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-0250
                    Fax: 613-992-0251
                ","
                    Main office -  Calgary 
                    1010 - 10201 Southport Rd SW

 
                    Calgary, Alberta 
                    T2W 4X9 ","
                    Telephone:  403-253-7990 
Fax:  403-253-8203 "
"","James","Maloney","Etobicoke—Lakeshore","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/james-maloney(88748)","Etobicoke—Lakeshore, Ontario
","Parliamentary Secretary to the Minister of Justice and Attorney General of Canada
                        Member of the National Security and Intelligence Committee of Parliamentarians
","james.maloney@parl.gc.ca","http://jamesmaloney.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-9364
                    Fax: 613-992-5880
                ","
                    Main office -  Toronto 
                    1092 Islington Avenue 
Suite 202 
                    Toronto, Ontario 
                    M8Z 4R9 ","
                    Telephone:  416-251-5510 
Fax:  416-251-2845 "
"","Richard","Martel","Chicoutimi—Le Fjord","Quebec","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/richard-martel(100521)","Chicoutimi—Le Fjord, Quebec
","
                CIITStanding Committee on International Trade
            
    ","Richard.Martel@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-7207
                    Fax: 613-992-0431
                ","
                    Main office -  Chicoutimi 
                    320 Ste-Anne Street 
Suite 101 
                    Chicoutimi, Quebec 
                    G7J 2M4 ","
                    Telephone:  418-698-5648 
Fax:  418-698-5611 "
